mA,O2frac,mm,slm,Vdis,diluted,NO,NO2,HONO,number,R2
30,0.019607843,2,0.5,0.502,0,272.9164567,10.16183962,1.91E-08,5,0.713060237
30,0.019607843,2,1,0.492,0,113.6099477,5.02048288,1.347056744,5,0.882315034
30,0.019607843,2,3,0.513,0,70.53660741,3.82035426,4.869832391,5,0.845101898
30,0.019607843,5,0.5,0.742,0,843.409124,36.65159115,1.33E-08,5,0.863075403
30,0.019607843,5,1,0.762,0,302.5007681,2.687039253,1.298184294,5,0.62229379
30,0.019607843,5,3,0.778,0,183.3535478,5.987729927,6.458896921,5,0.888014054
30,0.019607843,5,5,0.792,0,109.4999475,2.979915109,8.015810264,4.75,0.673394733
30,0.019607843,8,0.5,0.99,0,1356.196343,82.52446518,12.58197701,5,0.960963305
30,0.019607843,8,1,0.989,0,862.507859,25.66935691,0.859368258,5,0.933250143
30,0.019607843,8,3,1.04,0,422.5131775,9.465099385,17.08422265,5,0.926281537
30,0.019607843,8,5,1.1,0,203.6691002,3.904791386,0.215028215,5.375,0.849743992
30,0.019607843,8,7,1.17,0,175.4546363,4.880729567,8.440154023,4.875,0.924517303
30,0.019607843,12,0.5,1.26,0,659.6895897,11.91671634,1.04E-06,5,0.930733801
30,0.019607843,12,1,1.28,0,798.7958152,16.17151569,5.28E-09,5,0.903010458
30,0.019607843,12,3,1.38,0,515.7054213,11.37648665,1.31E-06,5,0.929061486
30,0.019607843,12,5,1.52,0,268.4492715,6.868859538,2.98E-07,5,0.904735941
30,0.019607843,12,7,1.59,0,223.3135092,6.702910519,1.74E-05,5,0.930762042
30,0.019607843,15,0.5,1.44,0,2303.004084,176.0719033,0.049538416,5,0.969804649
30,0.019607843,15,1,1.48,0,991.6754379,21.74484943,4.9181302,5,0.934976682
30,0.019607843,15,3,1.58,0,578.2986242,12.31849232,3.219925596,5,0.930719492
30,0.019607843,15,5,1.71,0,308.0477165,21.02158688,5.22E-13,5,0.907857082
30,0.019607843,15,7,1.87,0,290.8725075,9.181493335,0.09870237,5,0.933523611
30,0.090909091,2,0.5,0.511,0,814.4149548,57.18992428,12.17864991,5,0.964343371
30,0.090909091,2,1,0.508,0,424.5852358,23.78095961,2.905190645,5,0.953418355
30,0.090909091,2,3,0.515,0,160.7069871,5.252658103,2.468031237,5,0.78839569
30,0.090909091,5,0.5,0.77,0,1339.796009,276.4928369,17.75659509,5,0.991012104
30,0.090909091,5,1,0.768,0,860.221833,64.2038296,3.77E-08,5,0.959725194
30,0.090909091,5,3,0.783,0,411.139381,10.252142,1.35E-09,5,0.868389711
30,0.090909091,5,5,0.802,0,314.868843,7.278547205,8.850752612,5,0.923913226
30,0.090909091,5,7,0.846,0,200.0966401,4.540098253,0.942541602,5,0.857016246
30,0.090909091,8,0.5,1.01,0,1699.844961,402.8843223,47.73778651,5,0.993504134
30,0.090909091,8,1,1.01,0,1305.821766,165.544663,1.83E-08,5.375,0.975575248
30,0.090909091,8,3,1.06,0,793.7215516,38.193365,3.898471572,5,0.944403226
30,0.090909091,8,5,1.11,0,528.471982,16.77430003,6.310273104,5,0.936996741
30,0.090909091,8,7,1.17,0,423.2453517,11.05379449,9.11476399,5,0.9320841
30,0.090909091,12,0.5,1.24,0,2742.285816,1210.518735,277.4067759,5,0.995391389
30,0.090909091,12,1,1.28,0,2346.496454,523.2042292,50.2595879,5,0.993237369
30,0.090909091,12,3,1.38,0,1246.013184,75.82585747,2.37E-10,5.5,0.957966502
30,0.090909091,12,5,1.51,0,825.0154029,29.88484821,1.951854562,5,0.943608164
30,0.090909091,12,7,1.58,0,683.6009686,19.31067174,1.33E-06,5,0.93384466
30,0.090909091,15,0.5,1.44,0,3066.364073,1427.727767,415.4524551,5,0.994611441
30,0.090909091,15,1,1.48,0,2628.335783,659.9210578,87.92277893,5,0.994263949
30,0.090909091,15,3,1.61,0,1437.00026,87.45698334,4.263435639,5.125,0.961925738
30,0.090909091,15,5,1.71,0,926.6169042,30.28966797,2.12E-10,5,0.937184451
30,0.090909091,15,7,1.86,0,776.6692614,21.72102974,3.750701062,5,0.938261191
30,0.2095,2,0.5,0.506,0,776.0190679,188.0856893,5.053591183,5,0.990315603
30,0.2095,2,1,0.505,0,522.1572865,59.25429197,2.072047591,5,0.978533661
30,0.2095,2,3,0.51,0,225.3774393,11.54738801,0.275068037,5,0.948606815
30,0.2095,2,5,0.515,0,136.9340488,4.593056309,0.653210931,5,0.862663166
30,0.2095,2,7,0.523,0,77.93704769,1.636813334,2.37E-07,5,0.688725655
30,0.2095,5,0.5,0.76,0,1363.879598,784.8776749,182.0491189,5,0.996883437
30,0.2095,5,1,0.76,0,1027.190164,185.8839366,19.45244242,5,0.991143043
30,0.2095,5,3,0.773,0,588.3713735,31.31460914,5.668511428,5,0.952601265
30,0.2095,5,5,0.784,0,398.3731918,12.94189036,8.307799901,5,0.936775818
30,0.2095,5,7,0.827,0,325.2933748,9.723099564,13.77750579,5,0.905121403
30,0.2095,8,0.5,1.01,0,1727.817498,1036.888446,213.1211107,5,0.996198418
30,0.2095,8,1,1.05,0,1453.663779,436.597318,34.98225051,5,0.995108612
30,0.2095,8,3,1.1,0,1005.18322,96.02176092,1.624292614,5,0.974125561
30,0.2095,8,5,1.14,0,698.6467529,33.71541394,6.372699167,5,0.950746184
30,0.2095,8,7,1.2,0,548.6373763,18.95005731,10.35953038,5,0.942236846
30,0.2095,12,0.5,1.32,3,784.7081974,167.0768402,19.87428785,5,0.992004006
30,0.2095,12,1,1.32,0,2467.613366,1538.946693,455.5610583,5,0.994489443
30,0.2095,12,3,1.41,0,1458.785906,202.2916212,1.47E-08,5,0.984536393
30,0.2095,12,5,1.54,0,1017.841594,67.77293467,2.829444962,5,0.963236405
